epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2142.28,1.0509,0.87316,1.23195,0.75495,0.60985,0.6927,0.43478,1.33116,1.04531,1.45502,0.0002972,0.0002972,0.0002972
88,2167.08,1.03571,0.87704,1.23996,0.76976,0.61212,0.70152,0.43411,1.33066,1.03292,1.46655,0.0002774,0.0002774,0.0002774
89,2191.42,1.03615,0.8748,1.23042,0.78381,0.60833,0.6999,0.43523,1.32212,1.03958,1.46226,0.0002576,0.0002576,0.0002576
90,2216.27,1.03539,0.85306,1.22494,0.81001,0.59431,0.69868,0.43603,1.31509,1.04534,1.46033,0.0002378,0.0002378,0.0002378
91,2262.8,1.0171,0.79964,1.24266,0.77773,0.60303,0.69638,0.43391,1.31227,1.04911,1.46197,0.000218,0.000218,0.000218
92,2286.94,0.99301,0.77155,1.22078,0.76381,0.61247,0.69757,0.43447,1.31133,1.04056,1.45931,0.0001982,0.0001982,0.0001982
93,2311.41,0.99655,0.76316,1.21836,0.76188,0.62879,0.70002,0.43424,1.32285,1.04904,1.46347,0.0001784,0.0001784,0.0001784
94,2335.78,0.98972,0.76802,1.22374,0.78954,0.60758,0.69907,0.43373,1.32806,1.04189,1.4728,0.0001586,0.0001586,0.0001586
95,2359.86,0.98263,0.75339,1.22132,0.79206,0.60682,0.70246,0.43357,1.32538,1.04528,1.46885,0.0001388,0.0001388,0.0001388
96,2384.18,0.97924,0.75234,1.21593,0.77852,0.61591,0.70088,0.43584,1.32078,1.04537,1.46371,0.000119,0.000119,0.000119
97,2408.46,0.97169,0.74879,1.20437,0.78037,0.61515,0.69984,0.43554,1.31547,1.04351,1.46242,9.92e-05,9.92e-05,9.92e-05
98,2432.24,0.96464,0.73386,1.20822,0.77397,0.61212,0.69982,0.43374,1.31723,1.04562,1.46134,7.94e-05,7.94e-05,7.94e-05
99,2457.01,0.95895,0.7265,1.20137,0.75191,0.62223,0.70133,0.43712,1.31764,1.04092,1.45998,5.96e-05,5.96e-05,5.96e-05
100,2481.52,0.96053,0.7272,1.20573,0.77715,0.62273,0.70448,0.43699,1.31747,1.03965,1.46042,3.98e-05,3.98e-05,3.98e-05
