epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1645.74,1.08619,2.47212,0.91365,1.24799,0.75146,0.62424,0.70789,0.43778,0.77233,0.55606,0.63637,0.32307,1.32752,2.91147,1.05066,1.46779,0.0011288,0.0011288,0.0011288
46,1681.67,1.08564,2.48087,0.9085,1.24714,0.75348,0.62424,0.70719,0.443,0.75625,0.58056,0.64594,0.3291,1.31878,2.84984,1.04603,1.4566,0.001109,0.001109,0.001109
47,1717.87,1.07806,2.47804,0.91885,1.24562,0.79296,0.58636,0.70167,0.43987,0.7687,0.56288,0.63885,0.32591,1.33499,2.89137,1.04132,1.47009,0.0010892,0.0010892,0.0010892
48,1754.3,1.07152,2.45615,0.89348,1.24528,0.79108,0.61212,0.70036,0.42566,0.77188,0.56818,0.62747,0.31572,1.33999,2.91031,1.05393,1.49252,0.0010694,0.0010694,0.0010694
49,1790.67,1.07624,2.46731,0.89358,1.2405,0.78616,0.61742,0.70398,0.43837,0.75851,0.58535,0.64626,0.32833,1.33607,2.86748,1.04246,1.47729,0.0010496,0.0010496,0.0010496
50,1826.69,1.04666,2.43386,0.88425,1.22874,0.76186,0.61559,0.7049,0.43344,0.77617,0.5697,0.63745,0.32254,1.3495,2.86308,1.05326,1.49026,0.0010298,0.0010298,0.0010298
51,1862.51,1.0631,2.43338,0.88067,1.22642,0.76033,0.63561,0.71226,0.44428,0.78029,0.58106,0.6576,0.33577,1.34057,2.84362,1.03598,1.47079,0.00101,0.00101,0.00101
52,1899.1,1.05399,2.41467,0.86917,1.229,0.77217,0.62648,0.71327,0.44862,0.7863,0.58712,0.65572,0.33981,1.31842,2.81373,1.01626,1.45687,0.0009902,0.0009902,0.0009902
53,1935.32,1.05248,2.42456,0.86391,1.22961,0.81182,0.5883,0.70269,0.44364,0.78274,0.56364,0.6392,0.3285,1.31257,2.84258,1.01785,1.46675,0.0009704,0.0009704,0.0009704
54,1971.79,1.03135,2.40755,0.85367,1.21433,0.7846,0.61538,0.70926,0.44854,0.77241,0.58258,0.64358,0.33633,1.31659,2.87386,1.00568,1.45869,0.0009506,0.0009506,0.0009506
55,2007.8,1.04837,2.41623,0.87622,1.22344,0.78863,0.61742,0.71317,0.44767,0.77207,0.56711,0.64508,0.33717,1.33825,2.85869,1.01834,1.46979,0.0009308,0.0009308,0.0009308
56,2044.17,1.0423,2.4078,0.85301,1.21455,0.77013,0.61288,0.71043,0.44879,0.75622,0.59015,0.65704,0.33745,1.31684,2.86011,1.00539,1.45687,0.000911,0.000911,0.000911
